,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker
16,"JB : In fact I believe that people like you who believe as a utopia, are precisely the ones who have led to bad policies and bad results.","JB : It is the illusion that there is a utopia that has led to the idea that you can give people money for not working, and that will cause no perverse results","people like KM who believe as a utopia, are precisely the ones who have led to bad policies and bad results.","It is the illusion that there is a utopia that has led to the idea that you can give people money for not working, and that will cause no perverse results",Default Inference,nodeset6233,27488,27491,115687,False,JB,JB,JB
17,"KM : So, it’s going back to the politics of the poor house",JB : unemployment is a crime not a personal tragedy,it’s going back to the politics of the poor house,unemployment is a crime not a personal tragedy,RA,nodeset6235,27417,27421,115726,False,KM,JB,JB
18,JB : I didn’t say that,JB : Nothing I’ve said implies that I regard it as a crime,JB didn't say that,Nothing JB said implies that JB regards it as a crime,RA,nodeset6235,27742,27435,115736,False,JB,JB,JB
19,"KM : If it were politically possible, would you want to abolish the welfare state altogether?",JB :	 Yes,"If it were politically possible, JB would / would not want to abolish the welfare state altogether",JB would want to abolish the welfare state altogether,Default Rephrase,nodeset6235,115689,115706,115740,False,KM,JB,JB
20,"KM : So, it’s going back to the politics of the poor house",JB :	 Yes,it’s going back to the politics of the poor house,JB would want to abolish the welfare state altogether,Default Inference,nodeset6235,27417,115706,115743,False,KM,JB,KM
21,KM : So [how do you regard it?,"JB : I regard unemployment as a state out of which everybody could get, if the government didn’t get in the way",xxx is how JB regards it,"unemployment is a state out of which everybody could get, if the government didn’t get in the way",Default Rephrase,nodeset6235,115717,27441,115748,False,KM,JB,JB
22,"JB : The real question, as opposed to going out to theoretical ‘nowhereville’, is to ask “What is the best welfare state we can make, in the real world?”",JB : And that is a worthwhile ambition,"The real question is to ask “What is the best welfare state we can make, in the real world?”",that is a worthwhile ambition,RA,nodeset6236,28042,115757,115762,False,JB,JB,JB
23,KM : What will you do?,"JB : The real question, as opposed to going out to theoretical ‘nowhereville’, is to ask “What is the best welfare state we can make, in the real world?”",xxx is what JB will do,"The real question is to ask “What is the best welfare state we can make, in the real world?”",Default Rephrase,nodeset6236,115756,28042,115769,False,KM,JB,JB
24,JB : And that is a worthwhile ambition,"JB : Well, I believe there are lots of ways in which we can change our welfare state to make it better",that is a worthwhile ambition,there are lots of ways in which we can change our welfare state to make it better,Default Inference,nodeset6236,115757,28044,115776,False,JB,JB,JB
25,"KM : Like, for example, halving benefits?","KM : Like, for example, halving benefits?",halving benefits is a way in which we can change our welfare state to make it better,halving benefits is a way in which we can change our welfare state to make it better,Default Rephrase,nodeset6236,115758,115758,115784,False,KM,KM,KM
26,"KM : Like, for example, halving benefits?",JB : halving benefits is a way in which we can change our welfare state to make it better,halving benefits is a way in which we can change our welfare state to make it better,halving benefits is a way in which we can change our welfare state to make it better,Default Rephrase,nodeset6236,115758,115758,115784,False,KM,JB,JB
27,JB : halving benefits is a way in which we can change our welfare state to make it better,"KM : Like, for example, halving benefits?",halving benefits is a way in which we can change our welfare state to make it better,halving benefits is a way in which we can change our welfare state to make it better,Default Rephrase,nodeset6236,115758,115758,115784,False,JB,KM,KM
28,JB : halving benefits is a way in which we can change our welfare state to make it better,JB : halving benefits is a way in which we can change our welfare state to make it better,halving benefits is a way in which we can change our welfare state to make it better,halving benefits is a way in which we can change our welfare state to make it better,Default Rephrase,nodeset6236,115758,115758,115784,False,JB,JB,JB
29,"JB :  I certainly think people who don’t work, who are unemployed, are depressed.",JB : There is plenty of evidence to say that there is depression amongst the unemployed.,"people who don’t work, who are unemployed, are depressed.",There is plenty of evidence to say that there is depression amongst the unemployed.,RA,nodeset6240,28151,28152,115826,False,JB,JB,JB
30,CL : People have a moral duty to work to support themselves,CL : People have a moral duty to work to support themselves,People have a moral duty to work to support themselves,People have a moral duty to work to support themselves,Default Rephrase,nodeset6240,28113,28113,115840,False,CL,CL,CL
31,CL : People have a moral duty to work to support themselves,JB : People have a moral duty to work to support themselves,People have a moral duty to work to support themselves,People have a moral duty to work to support themselves,Default Rephrase,nodeset6240,28113,28113,115840,False,CL,JB,JB
32,JB : People have a moral duty to work to support themselves,CL : People have a moral duty to work to support themselves,People have a moral duty to work to support themselves,People have a moral duty to work to support themselves,Default Rephrase,nodeset6240,28113,28113,115840,False,JB,CL,CL
33,JB : People have a moral duty to work to support themselves,JB : People have a moral duty to work to support themselves,People have a moral duty to work to support themselves,People have a moral duty to work to support themselves,Default Rephrase,nodeset6240,28113,28113,115840,False,JB,JB,JB
34,CL : People have a moral duty to work to support themselves,JB :  I wouldn’t use the word ‘moral’,People have a moral duty to work to support themselves,JB  wouldn’t use the word ‘moral’,Default Conflict,nodeset6240,28113,115813,115851,False,CL,JB,CL
35,JB : People have a moral duty to work to support themselves,JB :  I wouldn’t use the word ‘moral’,People have a moral duty to work to support themselves,JB  wouldn’t use the word ‘moral’,Default Conflict,nodeset6240,28113,115813,115851,False,JB,JB,JB
36,JB :  I wouldn’t use the word ‘moral’,"JB :  but I think most people around the world would say “If one lot of people is going to give another lot of people money, that second lot of people should be willing to work, and should work.”",JB  wouldn’t use the word ‘moral’,"If one lot of people is going to give another lot of people money, that second lot of people should be willing to work, and should work.",Default Inference,nodeset6240,115813,28127,115854,False,JB,JB,JB
37,"CL : Because, would you agree with me then, that there is a natural and normal desire to work?",CL : CL : That that’s part of the way God made people?,there is a natural and normal desire to work,that’s part of the way God made people,Default Inference,nodeset6240,28139,115817,115859,False,CL,CL,CL
38,"JB :  I certainly think people who don’t work, who are unemployed, are depressed.","CL : Because, would you agree with me then, that there is a natural and normal desire to work?","people who don’t work, who are unemployed, are depressed.",there is a natural and normal desire to work,Default Inference,nodeset6240,28151,28139,115863,False,JB,CL,JB
39,"CL : do you believe that individuals are feckless and lazy, or not?",JB :  I don’t believe people are feckless and lazy,individuals are feckless and lazy,individuals are not  feckless and lazy,Default Conflict,nodeset6241,28200,115867,115885,False,CL,JB,CL
40,JB : individuals are feckless and lazy,JB :  I don’t believe people are feckless and lazy,individuals are feckless and lazy,individuals are not  feckless and lazy,Default Conflict,nodeset6241,28200,115867,115885,False,JB,JB,JB
41,"JB : No, I don’t start from that position",JB :  I don’t blame the people-,JB doesn't start from that position,JB does not blame the people-,Default Inference,nodeset6241,115869,28226,115891,False,JB,JB,JB
42,JB :  I don’t blame the people-,JB : I blame the political system that has created a trap for these people,JB does not blame the people-,JB blames the political system that has created a trap for these people,Default Inference,nodeset6241,28226,115894,115899,False,JB,JB,JB
43,JB : there’s the rub,JB : there are lots of ways in which you can hopefully allow the market to create jobs,there’s the rub,there are lots of ways in which you can hopefully allow the market to create jobs,RA,nodeset6242,34500,34508,115908,False,JB,JB,JB
44,"JB : If the market doesn’t, for whatever reason – and you’re colleague may think it’s because of the failure of Capitalism, I may think it’s because of government interference – never mind who’s fault it is, then the next thing that the government should do, is to provide jobs for these people to do",JB : there are lots of ways in which you can hopefully allow the market to create jobs,"If the market doesn’t, for whatever reason never mind who’s fault it is, then the next thing that the government should do, is to provide jobs for these people to do",there are lots of ways in which you can hopefully allow the market to create jobs,RA,nodeset6242,34514,34508,115911,False,JB,JB,JB
45,"your colleague : If the market doesn’t, for whatever reason – it’s because of the failure of Capitalism",JB :  I may think it’s because of government interference,"If the market doesn’t, for whatever reason it’s because of the failure of Capitalism",it’s because of government interference,CA,nodeset6242,34520,34526,115919,False,your colleague,JB,JB
46,CL : But doesn’t that undermine the whole argument that you make about incentives?,"CL : If people want to work, if it’s their nature to work, and if the work was there, then they’d go and do it",that undermines the whole argument that you make about incentives,"If people want to work, if it’s their nature to work, and if the work was there, then they’d go and do it",Default Conflict,nodeset6242,34532,34536,115925,False,CL,CL,CL
47,"CL : Isn’t the fundamental duty we have as a society towards the unemployed, to make sure there are enough jobs for them to take the opportunity to go and work?",JB : there’s the rub,the fundamental duty we have as a society towards the unemployed is to make sure there are enough jobs for them to take the opportunity to go and work,there’s the rub,Default Inference,nodeset6242,34497,34500,115927,False,CL,JB,JB
48,"JB : my position, being realistic, is that we’re not going to get rid of the welfare state",JB : There will be a government supplied safety net,we’re not going to get rid of the welfare state,There will be a government supplied safety net,RA,nodeset6243,34542,34545,115932,False,JB,JB,JB
49,JB : some people are not working because they can make a penny more from giving up their job and living at home,CL : See I’m not sure these people exist,some people are not working because they can make a penny more from giving up their job and living at home,these people don't exist,CA,nodeset6243,34560,34557,115938,False,JB,CL,JB
50,CL : See I’m not sure these people exist,"CL : It’s so unnatural, that seems to me",these people don't exist,It’s so unnatural,RA,nodeset6243,34557,34568,115941,False,CL,CL,CL
51,JB : and therefore [you are going to provide money to these people,JB : There will be a government supplied safety net,therefore [you are going to provide money to these people,There will be a government supplied safety net,Default Inference,nodeset6243,115946,34545,115951,False,JB,JB,JB
52,JB : and then you must require them to work,JB : and therefore [you are going to provide money to these people,you must require them to work,therefore [you are going to provide money to these people,Default Inference,nodeset6243,115953,115946,115958,False,JB,JB,JB
53,JB : some people are not working because they can make a penny more from giving up their job and living at home,JB : it’s not a problem making a penny more,some people are not working because they can make a penny more from giving up their job and living at home,it’s not a problem making a penny more,Default Conflict,nodeset6243,34560,34577,115962,True,JB,JB,JB
54,JB : some people are not working because they can make a penny more from giving up their job and living at home,"JB : it’s because you say, “You get benefits on the basis that you work.”",some people are not working because they can make a penny more from giving up their job and living at home,"you say, “You get benefits on the basis that you work.”",Default Conflict,nodeset6243,34560,34581,115962,True,JB,JB,JB
55,"JB : In Wisconsin, when they made this requirement, and they gave a lot of help to people in terms of childcare A]; [in Wisconsin they had a reduction in welfare roles of up to 90%","JB : it’s because you say, “You get benefits on the basis that you work.”","In Wisconsin, when they made this requirement, and they gave a lot of help to people in terms of childcare A]; [in Wisconsin they had a reduction in welfare roles of up to 90%","you say, “You get benefits on the basis that you work.”",Default Inference,nodeset6243,115964,34581,115969,False,JB,JB,JB
56,JB : It’s not incentives,JB : it’s compulsion,It’s not incentives,it’s compulsion,RA,nodeset6244,34602,34606,115976,False,JB,JB,JB
57,JB : It’s not incentives,JB : it’s requirement,It’s not incentives,it’s requirement,RA,nodeset6244,34602,34612,115980,False,JB,JB,JB
58,CL : Aren’t incentives and compulsions irrelevant.,CL : Aren’t we just providing the work that people want to do?,incentives and compulsions are irrelevant.,we are just providing the work that people want to do,RA,nodeset6244,34618,34622,115986,False,CL,CL,CL
59,CL : Aren’t incentives and compulsions irrelevant.,"CL : I mean the desire to work is innate, is it not?",incentives and compulsions are irrelevant.,the desire to work is innate,RA,nodeset6244,34618,34628,115990,False,CL,CL,CL
60,"CL : I mean the desire to work is innate, is it not?",CL : It’s creative,the desire to work is innate,It’s creative,RA,nodeset6244,34628,34634,115994,True,CL,CL,CL
61,"CL : I mean the desire to work is innate, is it not?",CL : it’s industrious,the desire to work is innate,it’s industrious,RA,nodeset6244,34628,34640,115994,True,CL,CL,CL
62,CL : Aren’t incentives irrelevant?,JB : It’s not incentives,incentives are irrelevant,It’s not incentives,Default Conflict,nodeset6244,34599,34602,116000,False,CL,JB,JB
63,CL : people would require the social context in which work happens,"CL : I mean the desire to work is innate, is it not?",people would require the social context in which work happens,the desire to work is innate,Default Inference,nodeset6244,34643,34628,116003,False,CL,CL,CL
64,"CL : I mean the desire to work is innate, is it not?",CL : they enjoy that,the desire to work is innate,they enjoy that,Default Rephrase,nodeset6244,34628,34649,116006,False,CL,CL,CL
65,CL : people would require the social context in which work happens,CL : they want the relationships that go with work,people would require the social context in which work happens,they want the relationships that go with work,Default Inference,nodeset6244,34643,34655,116009,False,CL,CL,CL
66,"CL : I mean the desire to work is innate, is it not?","JB :   I don’t know whether it is innate or not, to be quite honest",the desire to work is innate,JB doesn't know whether it is innate or not,Default Rephrase,nodeset6244,34628,116011,116016,False,CL,JB,CL
67,"JB : I don’t know whether it is innate or not, to be quite honest",JB : I’ve no idea whether it’s innate,JB doesn't know whether it is innate or not,JB's no idea whether it’s innate,Default Rephrase,nodeset6244,116011,116018,116023,False,JB,JB,JB
68,"CL : I mean the desire to work is innate, is it not?",JB : I’m not sure it is,the desire to work is innate,it is not,Default Conflict,nodeset6244,34628,116025,116030,False,CL,JB,CL
72,"JB : we have to bribe people, as it were",JB : it’s not innate,we have to bribe people,it's not innate,RA,nodeset6245,116034,34658,116038,True,JB,JB,JB
78,JB : we have to starve people,JB : it’s not innate,we have to starve people,it's not innate,RA,nodeset6245,34680,34658,116044,True,JB,JB,JB
84,JB : Well it’s certainly the case that people can be tempted out of work,JB : it’s not innate,people can be tempted out of work,it's not innate,RA,nodeset6245,34688,34658,116049,True,JB,JB,JB
90,JB : Well it’s certainly the case that people can be tempted out of work,"JB : If you’re going to work very hard for 8 hours a day, 5 days a week and you’re going to make only £1 more than you would have made on benefits I suggest that the urge to get a job is not as strong as it would be if you’d otherwise be penniless",people can be tempted out of work,"If you’re going to work very hard for 8 hours a day, 5 days a week and you’re going to make only £1 more than you would have made on benefits the urge to get a job is not as strong as it would be if you’d otherwise be penniless",RA,nodeset6245,34688,34691,116052,True,JB,JB,JB
93,RS : Well I think it clearly shows that Cameron hasn’t learnt any lesson from the past,"RS : In a sense he’s very similar to the abolition of the Board and Lodgings Allowance that Margaret Thatcher brought in at the end of the ‘80s, which obviously saw a huge spike in rough sleeping",it clearly shows that Cameron hasn’t learnt any lesson from the past,"In a sense he’s very similar to the abolition of the Board and Lodgings Allowance that Margaret Thatcher brought in at the end of the ‘80s, which obviously saw a huge spike in rough sleeping",RA,nodeset6246,34768,34772,116058,True,RS,RS,RS
94,RS : Well I think it clearly shows that Cameron hasn’t learnt any lesson from the past,"RS : Particularly from young people, that’s where a lot of civil society like crisis at centrepoint have their roots",it clearly shows that Cameron hasn’t learnt any lesson from the past,"Particularly from young people, that’s where a lot of civil society like crisis at centrepoint have their roots",RA,nodeset6246,34768,34778,116058,True,RS,RS,RS
95,RS : So it’s not going to have the effect that I think Cameron believes that it will.,"RS : In a sense he’s very similar to the abolition of the Board and Lodgings Allowance that Margaret Thatcher brought in at the end of the ‘80s, which obviously saw a huge spike in rough sleeping",it’s not going to have the effect that Cameron believes that it will,"In a sense he’s very similar to the abolition of the Board and Lodgings Allowance that Margaret Thatcher brought in at the end of the ‘80s, which obviously saw a huge spike in rough sleeping",RA,nodeset6246,34781,34772,116063,False,RS,RS,RS
96,"MB : Mr Sutherland, what do you make of Mr Cameron’s point that paying young people to move out of their parents’ home doesn’t mean they’re independent, they’re just dependant on other people’s parents?",RS : Well I think it clearly shows that Cameron hasn’t learnt any lesson from the past,"RS makes xxx of Mr Cameron’s point that paying young people to move out of their parents’ home doesn’t mean they’re independent, they’re just dependent on other people’s parents",it clearly shows that Cameron hasn’t learnt any lesson from the past,Default Rephrase,nodeset6246,116065,34768,116070,False,MB,RS,RS
97,AM : But I don’t know what you’re solution would be if you didn’t go that way,"AM : if you took something like ‘welfare to work’ set up by a Democrat American president who simply thought that too many people in the underclass were getting trapped in a dependency that wasn’t good for them, wasn’t good for their children. Do you think he was also being too punitive?",AM doesn't know what RS's solution would be if he didn’t go that way,"if you took something like ‘welfare to work’ set up by a Democrat American president who simply thought that too many people in the underclass were getting trapped in a dependency that wasn’t good for them, wasn’t good for their children, he was also being too punitive",Default Rephrase,nodeset6247,116082,116086,116091,False,AM,AM,AM
98,"AM : if you took something like ‘welfare to work’ set up by a Democrat American president who simply thought that too many people in the underclass were getting trapped in a dependency that wasn’t good for them, wasn’t good for their children. Do you think he was also being too punitive?","RS : Certainly I think ‘welfare to work’ – it creates the opposite of a dependency on welfare state, doesn’t it?","if you took something like ‘welfare to work’ set up by a Democrat American president who simply thought that too many people in the underclass were getting trapped in a dependency that wasn’t good for them, wasn’t good for their children, he was also being too punitive",‘welfare to work’ creates the opposite of a dependency on welfare state,Default Conflict,nodeset6247,116086,116093,116098,False,AM,RS,RS
99,"RS : Certainly I think ‘welfare to work’ – it creates the opposite of a dependency on welfare state, doesn’t it?",RS : It creates a dependency on work,‘welfare to work’ creates the opposite of a dependency on welfare state,It creates a dependency on work,Default Inference,nodeset6247,116093,8941,116101,False,RS,RS,RS
100,AM : Is that a bad thing?,"RS : If it’s low paid. If it’s very poor conditions, if you have to drive, if you can’t look after your children, if it causes damage to your health; then certainly I think it is",that is a not a bad thing,"If it’s low paid. If it’s very poor conditions, if you have to drive, if you can’t look after your children, if it causes damage to your health; then it is",Default Conflict,nodeset6247,116073,116105,116110,False,AM,RS,RS
101,AM : So it’s only the right to a job that you’d accept?,RS : It creates a dependency on work,it’s only the right to a job that RS’d accept,‘welfare to work’creates a dependency on work,Default Inference,nodeset6247,116075,34931,116113,False,AM,RS,RS
102,AM : So it’s only the right to a job that you’d accept?,RS : No,it’s only the right to a job that RS’d accept,it's not only the right to a job that RS'd accept,Default Conflict,nodeset6247,116075,116077,116115,False,AM,RS,RS
103,RS : No,"RS : There are benefits to work, obviously self-esteem, aspiration, sort of intangible goods which individuals feel",it's not only the right to a job that RS'd accept,"There are benefits to work, obviously self-esteem, aspiration, sort of intangible goods which individuals feel",Default Inference,nodeset6247,116077,34959,116118,False,RS,RS,RS
104,"RS : But equally there has to be a bottom line, doesn’t there? Beyond which it turns into outright exploitation","RS : I think obviously there is a minimum for any work, sort of the standards that we would perceive",there has to be a bottom line beyond which it turns into outright exploitation,"there is a minimum for any work, sort of the standards that we would perceive",Default Inference,nodeset6247,116120,34949,116125,True,RS,RS,RS
105,"RS : But equally there has to be a bottom line, doesn’t there? Beyond which it turns into outright exploitation",RS : we’re not saying people in sweatshops are gaining self-esteem,there has to be a bottom line beyond which it turns into outright exploitation,people in sweatshops are not gaining self-esteem,Default Inference,nodeset6247,116120,116127,116125,True,RS,RS,RS
106,"RS : But equally there has to be a bottom line, doesn’t there? Beyond which it turns into outright exploitation",AM : We have a minimum wage,there has to be a bottom line beyond which it turns into outright exploitation,We have a minimum wage,Default Conflict,nodeset6247,116120,34965,116134,False,RS,AM,AM
107,KM : in an ideal world where politics was not a factor,JB : That is not the world we live in,an ideal world where politics was not a factor,That is not the world we live in,Default Rephrase,nodeset6250,27944,27945,116170,True,KM,JB,JB
108,JB :  I didn’t say “Work shy”,JB : I don’t believe people are naturally work shy,JB didn’t say “Work shy”,people are not naturally work shy,Default Inference,nodeset6250,116181,116188,116193,False,JB,JB,JB
109,JB : I’ve never referred to them being work shy,JB : I don’t believe people are naturally work shy,JB's never referred to them being work shy,people are not naturally work shy,Default Inference,nodeset6250,116195,116188,116199,False,JB,JB,JB
110,"JB : the welfare state system is creating a whole class of work shy, people who are incentivised not to work.",JB :  I do not take an adversarial position towards the poor unfortunate people who’ve been trapped in the trap,"the welfare state system is creating a whole class of work shy, people who are incentivised not to work",JB: did not take adversarial position towards the poor unfortunate people who’ve been trapped in the trap,Default Conflict,nodeset6250,35104,27904,116202,False,JB,JB,JB
111,JB :  I do not take an adversarial position towards the poor unfortunate people who’ve been trapped in the trap,"JB : I want to get rid of the welfare state, the welfare system",JB: did not take adversarial position towards the poor unfortunate people who’ve been trapped in the trap,"JB wants to get rid of the welfare state, the welfare system",Default Conflict,nodeset6250,27904,116204,116212,False,JB,JB,JB
112,"JB : I want to get rid of the welfare state, the welfare system",JB : the welfare system is a problem.,"JB wants to get rid of the welfare state, the welfare system",the welfare system is the problem,Default Inference,nodeset6250,116204,27943,116214,False,JB,JB,JB
113,"JB : Ah, but my position, being realistic, is that we’re not going to get rid of the welfare state",JB : you didn’t ask me that,"JB didn't say he wants to get rid of the welfare state, the welfare system",KM didn’t ask JB that,Default Inference,nodeset6250,116217,116224,116229,False,JB,JB,JB
114,JB : you didn’t ask me that,"JB : You asked me, in an ideal world where politics was not a factor",KM didn’t ask JB that,KM : in an ideal world where politics was not a factor,Default Inference,nodeset6250,116224,116166,116232,False,JB,JB,JB
115,KM : in an ideal world where politics was not a factor,"JB :  in the real world, to get rid of the welfare state is not possible.",an ideal world where politics was not a factor,"in the real world, to get rid of the welfare state is not possible.",Default Rephrase,nodeset6250,27944,27946,116170,True,KM,JB,JB
116,"JB : In the same way that in other countries which run well and efficient welfare states, have very low unemployment – much lower than we do – it would be as low, or lower as it is there","JB : And at no time before the welfare state, was there mass permanent unemployment","In the same way that in other countries which run well and efficient welfare states, have very low unemployment – much lower than we do – it would be as low, or lower as it is there","at no time before the welfare state, was there mass permanent unemployment",RA,nodeset6251,27502,27507,116237,True,JB,JB,JB
117,"JB : In the same way that in other countries which run well and efficient welfare states, have very low unemployment – much lower than we do – it would be as low, or lower as it is there",JB : only since the welfare state has there been permanent unemployment,"In the same way that in other countries which run well and efficient welfare states, have very low unemployment – much lower than we do – it would be as low, or lower as it is there",only since the welfare state has there been permanent unemployment,RA,nodeset6251,27502,27512,116237,True,JB,JB,JB
118,JB : only since the welfare state has there been permanent unemployment,JB : There is no natural condition of unemployment,only since the welfare state has there been permanent unemployment,There is no natural condition of unemployment,RA,nodeset6251,27512,27515,116242,False,JB,JB,JB
119,"KM : In your ‘non-utopia’ where you’ve abolished the welfare state, what happens to those 2 million?","JB : In the same way that in other countries which run well and efficient welfare states, have very low unemployment – much lower than we do – it would be as low, or lower as it is there","In JB's ‘non-utopia’ where he's abolished the welfare state, xxx is what happens to those 2 million","In the same way that in other countries which run well and efficient welfare states, have very low unemployment – much lower than we do – it would be as low, or lower as it is there",Default Rephrase,nodeset6251,116248,27502,116251,False,KM,JB,JB
120,JB : only since the welfare state has there been permanent unemployment,JB : unemployment comes about on a mass permanent scale entirely because of the welfare state,only since the welfare state has there been permanent unemployment,unemployment comes about on a mass permanent scale entirely because of the welfare state,Default Rephrase,nodeset6251,27512,27520,116254,False,JB,JB,JB
121,"Romin : you know, one of the big initiatives that we’re looking at, is the troubled families initiative; this idea that this hardcore of really difficult families that we need to look at","Romin : Will abolishing housing benefit for under 25s lead to homelessness? And by which I mean hidden homelessness, sofa surfing, staying with the wrong people","one of the big initiatives that Romin's looking at, is the troubled families initiative; this idea that this hardcore of really difficult families that we need to look at","abolishing housing benefit for under 25s will lead to homelessness, hidden homelessness, sofa surfing, staying with the wrong people",Default Inference,nodeset6252,42310,42301,116261,False,Romin,Romin,Romin
122,"Claire : Are you not overstating your case, and at the same time treating young people as though they won’t cope with living in a garret, bit of poverty but I’ll get by","Romin : Will abolishing housing benefit for under 25s lead to homelessness? And by which I mean hidden homelessness, sofa surfing, staying with the wrong people","Romin is overstating Romin's case, and at the same time treating young people as though they won’t cope with living in a garret, bit of poverty but I’ll get by","abolishing housing benefit for under 25s will lead to homelessness, hidden homelessness, sofa surfing, staying with the wrong people",Default Conflict,nodeset6252,42298,42301,116265,False,Claire,Romin,Romin
123,"Romin : Will abolishing housing benefit for under 25s lead to homelessness? And by which I mean hidden homelessness, sofa surfing, staying with the wrong people",Claire : Staying with your mates?,"abolishing housing benefit for under 25s will lead to homelessness, hidden homelessness, sofa surfing, staying with the wrong people",abolishing housing benefit for under 25s will lead to staying with your mates,Default Rephrase,nodeset6252,42301,116267,116272,False,Romin,Claire,Romin
124,"Owen : I mean, since this government’s come to power they’ve tried to exploit tensions in working class Britain between the working poor and the unemployed; between the non-disabled and the disabled; between private sector workers and public sector workers","Claire : There’s historically been some resistance nonetheless, would you not recognise, from ordinary working class people to actually taking state benefits?",since this government’s come to power they’ve tried to exploit tensions in working class Britain between the working poor and the unemployed; between the non-disabled and the disabled; between private sector workers and public sector workers,There’s historically been some resistance from ordinary working class people to actually taking state benefits,Default Inference,nodeset6254,42914,42908,116289,False,Owen,Claire,Owen
