,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker
23,"SR :  But the problems we have, that were discussed in the introduction, is when debt gets out of control.","SR : When people either knowingly, or unknowingly, get into a position where they simply cannot service the debt. And that’s where the problems start arising",the problems we have is when debt gets out of control.,"When people either knowingly, or unknowingly, get into a position where they simply cannot service the debt. And that’s where the problems start arising",Default Rephrase,nodeset6126,26897,113420,113425,False,SR,SR,SR
24,"Claire : I'm simply asking you, [there’s therefore nothing necessarily positive about saving",Claire : It’s not necessarily a moral good,there’s nothing necessarily positive about saving,It’s not necessarily a moral good,RA,nodeset6133,113495,26972,113498,False,Claire,Claire,Claire
25,Claire : It’s not necessarily a moral good,Claire : It can be a way of demonstrating independence,It’s not necessarily a moral good,It can be a way of demonstrating independence,RA,nodeset6133,26972,26977,113503,True,Claire,Claire,Claire
26,Claire : It’s not necessarily a moral good,Claire : It can be risk averse,It’s not necessarily a moral good,It can be risk averse,RA,nodeset6133,26972,26982,113503,True,Claire,Claire,Claire
27,Claire : It’s not necessarily a moral good,Claire : It can be conservative,It’s not necessarily a moral good,It can be conservative,RA,nodeset6133,26972,26985,113503,True,Claire,Claire,Claire
28,Claire : It’s not necessarily a moral good,Claire : It can mean you get stuck,It’s not necessarily a moral good,It can mean you get stuck,RA,nodeset6133,26972,26988,113503,True,Claire,Claire,Claire
29,"Claire :  But is there anything so wrong with people saying, “I want to go on holiday and I'm going to take out a loan for it. And I think I can pay that back.”","Simon :  I suppose, by and large, I hold the personal view that [it is better to delay consumption in order to acquire something that you then have outright, rather than necessarily take out a debt","there is something wrong with people saying, “I want to go on holiday and I'm going to take out a loan for it. And I think I can pay that back.”","it is better to delay consumption in order to acquire something that you then have outright, rather than necessarily take out a debt",RA,nodeset6133,113508,27001,113514,False,Claire,Simon,Simon
30,Claire : what you thought about bankruptcy,"Claire : There are times I think that maybe it’s a good idea, in a free society, to free people if they do get into terrible debt",bankruptcy is xxx,"it’s a good idea, in a free society, to free people if they do get into terrible debt",Default Rephrase,nodeset6134,113546,27019,113556,False,Claire,Claire,Claire
31,Simon : We are not facing the problem at all,"Simon : And I think one of the problems we’re facing now is the fact that organisations, and indeed people who require debt, that what we’re doing is rolling everything over",We are not facing the problem at all,"one of the problems we’re facing now is the fact that organisations, and indeed people who require debt, that what we’re doing is rolling everything over",Default Inference,nodeset6134,27028,27025,113560,False,Simon,Simon,Simon
32,Simon : We are not facing the problem at all,Simon : We’re pretending the problem isn’t there,We are not facing the problem at all,We’re pretending the problem isn’t there,Default Inference,nodeset6134,27028,27031,113563,False,Simon,Simon,Simon
33,"Simon : And all that happens is it’s getting much, much worse",Simon : We’re pretending the problem isn’t there,"all that happens is it’s getting much, much worse",We’re pretending the problem isn’t there,Default Inference,nodeset6134,27034,27031,113566,False,Simon,Simon,Simon
34,Michael  :  I suppose it’s difficult for savers to take the high moral ground,Michael  : because they are lenders,it’s difficult for savers to take the high moral ground,they are lenders,RA,nodeset6135,27073,27076,113570,False,Michael,Michael,Michael
35,"Michael  : And if they're lenders, that implies there are borrowers","Simon : I mean there should be both savers and borrowers, naturally","if they're lenders, that implies there are borrowers","there should be both savers and borrowers, naturally",Default Rephrase,nodeset6135,27081,27085,113581,False,Michael,Simon,Simon
36,"Michael : But I wonder if it’s, as it were, intellectually honest to kind of play out the virtues of saving, as opposed to borrowing, when really, unless the two kind of balance out in an economy, there’s no point saving","Michael : If somebody’s not willing to reward you by borrowing your savings, there’s no point doing the saving.","it’s, as it were, intellectually honest to kind of play out the virtues of saving, as opposed to borrowing, when really, unless the two kind of balance out in an economy, there’s no point saving","If somebody’s not willing to reward you by borrowing your savings, there’s no point doing the saving.",RA,nodeset6136,27136,27139,113585,False,Michael,Michael,Michael
37,"Simon : And, as a result, things start going wrong when you depress the price of money",Simon : It means that the wrong investments are made,things start going wrong when you depress the price of money,the wrong investments are made,RA,nodeset6136,27151,27154,113594,True,Simon,Simon,Simon
38,"Simon : And, as a result, things start going wrong when you depress the price of money",Simon : savers are disadvantaged,things start going wrong when you depress the price of money,savers are disadvantaged,RA,nodeset6136,27151,27159,113594,True,Simon,Simon,Simon
39,"Simon : And, as a result, things start going wrong when you depress the price of money",Simon : investments go to the wrong place,things start going wrong when you depress the price of money,investments go to the wrong place,RA,nodeset6136,27151,27162,113594,True,Simon,Simon,Simon
40,"Simon : And, as a result, things start going wrong when you depress the price of money",Simon : and debt becomes that much easier than it would be if free market was allowed to reign,things start going wrong when you depress the price of money,debt becomes that much easier than it would be if free market was allowed to reign,RA,nodeset6136,27151,27165,113594,True,Simon,Simon,Simon
41,Simon : But what we have is an artificial suppression of the price of money,"Simon : The government and the Bank of England have decided, alone I think among the goods, that money should have a price determined sort of Soviet style, from the centre",what we have is an artificial suppression of the price of money,"The government and the Bank of England have decided, alone among the goods, that money should have a price determined sort of Soviet style, from the centre",RA,nodeset6136,27145,113590,113600,False,Simon,Simon,Simon
42,"MP : And if you put money into a building society, that would be on the basis that other people were taking the money out of the building society, to buy a house for example","MP : That would be the normality, wouldn’t it?","if you put money into a building society, that would be on the basis that other people were taking the money out of the building society, to buy a house for example",That would be the normality,RA,nodeset6138,30112,30115,113654,True,MP,MP,MP
43,"MP : And if you put money into a building society, that would be on the basis that other people were taking the money out of the building society, to buy a house for example","MP : If they were going right, then across a person’s life a person would sometimes be a saver, at other times a borrower, and maybe a saver again, thinking about the normal pattern across a lifestyle","if you put money into a building society, that would be on the basis that other people were taking the money out of the building society, to buy a house for example","If they were going right, then across a person’s life a person would sometimes be a saver, at other times a borrower, and maybe a saver again, thinking about the normal pattern across a lifestyle",RA,nodeset6138,30112,30109,113654,True,MP,MP,MP
44,building societies :there are about six times more savers than borrowers,MP : many people are a mixture of the two,there are about six times more savers than borrowers,many people are a mixture of the two,Default Conflict,nodeset6138,30124,30132,113667,False,building societies,MP,MP
45,"MP : That would be the normality, wouldn’t it?",building societies :there are about six times more savers than borrowers,That would be the normality,there are about six times more savers than borrowers,Default Conflict,nodeset6138,30115,30124,113669,False,MP,building societies,building societies
46,MP :  Why are you shying away from stigma?,SR :  I don’t think it should be stigmatised to get into debt at all,SR is shying away from stigma,it shouldn't be stigmatised to get into debt at all,RA,nodeset6139,113671,30190,113677,False,MP,SR,SR
47,MP :  Why are you shying away from stigma?,MP : You said the stigma’s disappeared,SR is shying away from stigma,SR : the stigma’s disappeared,Default Inference,nodeset6139,113671,30184,113686,False,MP,MP,MP
48,SR :  I don’t think it should be stigmatised to get into debt at all,MP : we need both debt and savings,it shouldn't be stigmatised to get into debt at all,we need both debt and savings,Default Inference,nodeset6139,30190,30196,113694,False,SR,MP,MP
49,SR :  I don’t think it should be stigmatised to get into debt at all,"SR : And the problem is that many people, either knowingly or because credit cards were being thrust at them, have taken on debts they can’t possibly hope to pay",it shouldn't be stigmatised to get into debt at all,"the problem is that many people, either knowingly or because credit cards were being thrust at them, have taken on debts they can’t possibly hope to pay",Default Inference,nodeset6139,30190,30214,113702,False,SR,SR,SR
50,MB : You're actually financing lifestyles that people can’t actually afford,JL : 	No,JL's actually financing lifestyles that people can’t actually afford,JL's not financing lifestyles that people can't afford,CA,nodeset6140,113704,113706,113709,False,MB,JL,JL
51,JL : 	No,JL : What we’re financing is the ability of people to smooth out the peaks and troughs of their income and expenditure,JL's not financing lifestyles that people can't afford,What JL's financing is the ability of people to smooth out the peaks and troughs of their income and expenditure,RA,nodeset6140,113706,113711,113714,False,JL,JL,JL
52,"your critics : you are actually financing consumer spending, as opposed to investment",MB : You're actually financing lifestyles that people can’t actually afford,"JL is actually financing consumer spending, as opposed to investment",JL's actually financing lifestyles that people can’t actually afford,Default Inference,nodeset6140,113721,113704,113727,False,your critics,MB,your critics
53,JL : What we’re financing is the ability of people to smooth out the peaks and troughs of their income and expenditure,"JL : When you think you’ve got 14.2 million people who are self-employed, lots of people working shifts, working part-time, relying on commissions and bonuses.",What JL's financing is the ability of people to smooth out the peaks and troughs of their income and expenditure,"you’ve got 14.2 million people who are self-employed, lots of people working shifts, working part-time, relying on commissions and bonuses.",Default Inference,nodeset6140,113711,30306,113730,False,JL,JL,JL
54,JL : What we’re financing is the ability of people to smooth out the peaks and troughs of their income and expenditure,JL : Their monthly incomes vary enormously,What JL's financing is the ability of people to smooth out the peaks and troughs of their income and expenditure,Their monthly incomes vary enormously,Default Inference,nodeset6140,113711,113732,113737,True,JL,JL,JL
55,JL : What we’re financing is the ability of people to smooth out the peaks and troughs of their income and expenditure,JL :  but their core bills don’t,What JL's financing is the ability of people to smooth out the peaks and troughs of their income and expenditure,their core bills don’t,Default Inference,nodeset6140,113711,113739,113737,True,JL,JL,JL
56,"JL : And what we’re doing is providing small loans, for short periods of time, to help them smooth out their family income",JL :  but their core bills don’t,"what JL's doing is providing small loans, for short periods of time, to help them smooth out their family income",their core bills don’t,Default Inference,nodeset6140,113717,113739,113744,False,JL,JL,JL
60,"CL : And isn’t the reason Dante confined them to the lowest circle of hell because they made a big profit at the expense of very poor people, which was widely regarded, quite rightly in my view, as shameful?","JL : So, lending money at interest is shameful?","the reason Dante confined them to the lowest circle of hell is because they made a big profit at the expense of very poor people, which was widely regarded as shameful",lending money at interest isn't shameful,CA,nodeset6141,113748,30659,113753,True,CL,JL,JL
66,"JL : So, lending money at interest is shameful?","JL : Well, then that takes away most of the ability of society to use future income to fund an unaffordable product right now",lending money at interest isn't shameful,that takes away most of the ability of society to use future income to fund an unaffordable product right now,RA,nodeset6141,30659,30665,113757,True,JL,JL,JL
69,CL : Doesn’t it worry you at all that you're taking advantage of people when they are really in no position to negotiate?,CL : They have absolutely very little choice except to take the terms that are being offered to them,JL should be worried that he's taking advantage of people when they are really in no position to negotiate,They have absolutely very little choice except to take the terms that are being offered to them,RA,nodeset6142,113759,30811,113763,False,CL,CL,CL
70,CL : They have absolutely very little choice except to take the terms that are being offered to them,JL : And that is totally untrue,They have absolutely very little choice except to take the terms that are being offered to them,that is totally untrue,CA,nodeset6142,30811,30817,113767,False,CL,JL,JL
71,"JL : What is actually happening is that people are choosing to pay down their long-term debt, their credit cards and their bank loans",JL : because our customers all have bank accounts,"What is actually happening is that people are choosing to pay down their long-term debt, their credit cards and their bank loans",JL's customers all have bank accounts,Default Inference,nodeset6142,113778,113770,113783,True,JL,JL,JL
72,"JL : What is actually happening is that people are choosing to pay down their long-term debt, their credit cards and their bank loans",JL : 80% of them have credit cards,"What is actually happening is that people are choosing to pay down their long-term debt, their credit cards and their bank loans",80% of them have credit cards,Default Inference,nodeset6142,113778,113774,113783,True,JL,JL,JL
73,JL : and they are choosing to borrow small amounts of money for short periods of time,"JL : What is actually happening is that people are choosing to pay down their long-term debt, their credit cards and their bank loans",they are choosing to borrow small amounts of money for short periods of time,"What is actually happening is that people are choosing to pay down their long-term debt, their credit cards and their bank loans",Default Inference,nodeset6142,113785,113778,113790,False,JL,JL,JL
74,JL : and they are choosing to borrow small amounts of money for short periods of time,JL : because they don’t have the security of future income that they did have before the credit crisis,they are choosing to borrow small amounts of money for short periods of time,they don’t have the security of future income that they did have before the credit crisis,Default Inference,nodeset6142,113785,30832,113793,False,JL,JL,JL
75,JL : And that is totally untrue,JL : and they are choosing to borrow small amounts of money for short periods of time,that is totally untrue,they are choosing to borrow small amounts of money for short periods of time,Default Inference,nodeset6142,30817,113785,113796,False,JL,JL,JL
76,"MT : And they're easily seduced into acting, in the short-term, in ways which aren’t very good for them in the long-term","MT : we know from lots and lots of research, you know this, that people aren’t very good at understanding financial products","they're easily seduced into acting, in the short-term, in ways which aren’t very good for them in the long-term",people aren’t very good at understanding financial products,RA,nodeset6143,30841,30838,113800,False,MT,MT,MT
77,"MT : Doesn’t the history of the financial services industry demonstrate that this is an industry with a deep commitment to exploiting those weaknesses, in order to make a fast buck?","JL : 	Well, I don’t really agree with that at all","the history of the financial services industry demonstrates that this is an industry with a deep commitment to exploiting those weaknesses, in order to make a fast buck",the history of the financial services industry does not demonstrate that this is an industry with a deep commitment to exploiting those weaknesses,CA,nodeset6143,30847,30850,113806,False,MT,JL,JL
78,"MT : Doesn’t the history of the financial services industry demonstrate that this is an industry with a deep commitment to exploiting those weaknesses, in order to make a fast buck?","MT : we know from lots and lots of research, you know this, that people aren’t very good at understanding financial products","the history of the financial services industry demonstrates that this is an industry with a deep commitment to exploiting those weaknesses, in order to make a fast buck",people aren’t very good at understanding financial products,Default Inference,nodeset6143,30847,30838,113809,False,MT,MT,MT
79,"JL : because the government, in 2001, announced a review of the Consumer Credit Act 1974",JL : because it was quite old legislation,"the government, in 2001, announced a review of the Consumer Credit Act 1974",it was quite old legislation,RA,nodeset6144,30942,30948,113816,False,JL,JL,JL
80,"JL : That led to new regulations in 2004, new regulations in 2006,","JL : because the government, in 2001, announced a review of the Consumer Credit Act 1974","That led to new regulations in 2004, new regulations in 2006,","the government, in 2001, announced a review of the Consumer Credit Act 1974",RA,nodeset6144,30954,30942,113820,True,JL,JL,JL
81,MT : Why have they had to be over-hauled?,"JL : because the government, in 2001, announced a review of the Consumer Credit Act 1974",they had to be over-hauled because xxx,"the government, in 2001, announced a review of the Consumer Credit Act 1974",Default Rephrase,nodeset6144,113811,30942,113827,False,MT,JL,JL
82,"JL : That led to new regulations in 2004, new regulations in 2006,",JL : and then the regulations throughout the European Union were harmonised in 2008,"That led to new regulations in 2004, new regulations in 2006,",the regulations throughout the European Union were harmonised in 2008,RA,nodeset6144,30954,30957,113820,True,JL,JL,JL
83,"JL : So these aspects have been looked at in huge detail in the last 10 years by government, by consumer groups, by the industry, by academics","JL : That led to new regulations in 2004, new regulations in 2006,","these aspects have been looked at in huge detail in the last 10 years by government, by consumer groups, by the industry, by academics","That led to new regulations in 2004, new regulations in 2006,",Default Inference,nodeset6144,30963,30954,113831,True,JL,JL,JL
84,"JL : So these aspects have been looked at in huge detail in the last 10 years by government, by consumer groups, by the industry, by academics",JL : and then the regulations throughout the European Union were harmonised in 2008,"these aspects have been looked at in huge detail in the last 10 years by government, by consumer groups, by the industry, by academics",the regulations throughout the European Union were harmonised in 2008,Default Inference,nodeset6144,30963,30957,113831,True,JL,JL,JL
85,MT :  What is it about your industry that leads you to want to pull the wool over people’s eyes?,JL : We don’t want to pull the wool over people’s eyes.,it is xxx about JL's industry that leads him to want to pull the wool over people’s eyes,JL's industry doesn’t want to pull the wool over people’s eyes.,Default Rephrase,nodeset6145,113836,113837,113847,False,MT,JL,JL
86,"JL : We want to comply with the regulations that others have determined. Not just in the UK, but in the whole of the EU","JL : it’s been pointed out that borrowing money can have disadvantages, as well as advantages","JL's industry wants to comply with the regulations that others have determined. Not just in the UK, but in the whole of the EU","it’s been pointed out that borrowing money can have disadvantages, as well as advantages",RA,nodeset6145,113849,31284,113853,False,JL,JL,JL
87,MT : Why does your industry need to be wrapped up in red tape?,MT : Why is your industry not simply ethical?,JL's industry should not need to be wrapped up in red tape,JL's industry should simply be ethical,Default Inference,nodeset6145,113835,113834,113856,False,MT,MT,MT
88,JL : We don’t want to pull the wool over people’s eyes.,"JL : We want to comply with the regulations that others have determined. Not just in the UK, but in the whole of the EU",JL's industry doesn’t want to pull the wool over people’s eyes.,"JL's industry wants to comply with the regulations that others have determined. Not just in the UK, but in the whole of the EU",Default Inference,nodeset6145,113837,113849,113858,False,JL,JL,JL
89,JL : We don’t want to pull the wool over people’s eyes.,JL : and that consumers should have all the information that they need,JL's industry doesn’t want to pull the wool over people’s eyes.,consumers should have all the information that they need,Default Inference,nodeset6145,113837,113860,113865,True,JL,JL,JL
90,JL : We don’t want to pull the wool over people’s eyes.,"JL : it’s been pointed out that borrowing money can have disadvantages, as well as advantages",JL's industry doesn’t want to pull the wool over people’s eyes.,"it’s been pointed out that borrowing money can have disadvantages, as well as advantages",Default Inference,nodeset6145,113837,31284,113865,True,JL,JL,JL
91,JL : And that’s what they get,"JL : it’s been pointed out that borrowing money can have disadvantages, as well as advantages",that’s what they get,"it’s been pointed out that borrowing money can have disadvantages, as well as advantages",Default Inference,nodeset6145,113867,31284,113872,False,JL,JL,JL
92,MB : do people or nations not have any responsibility for what they borrow?,ND :  very often they do have responsibility for what they borrow,people or nations have responsibility for what they borrow,very often they do have responsibility for what they borrow,Default Rephrase,nodeset6146,113874,31337,113885,False,MB,ND,ND
93,ND :  very often they do have responsibility for what they borrow,"ND :  that’s within a much wider social context, wherein those individual decisions are mediated",very often they do have responsibility for what they borrow,"that’s within a much wider social context, wherein those individual decisions are mediated",Default Inference,nodeset6146,31337,31330,113887,False,ND,ND,ND
94,MB : the reason that so many people have defaulted on their mortgages is a result of tens of thousands of random decisions by individuals,ND : I don’t think it is,the reason that so many people have defaulted on their mortgages is a result of tens of thousands of random decisions by individuals?,the reason that so many people have defaulted on their mortgages is not the result of tens of thousands of random decisions by individuals,Default Conflict,nodeset6146,113889,113881,113899,False,MB,ND,MB
95,ND : I don’t think it is,"ND :  that’s within a much wider social context, wherein those individual decisions are mediated",the reason that so many people have defaulted on their mortgages is not the result of tens of thousands of random decisions by individuals,"that’s within a much wider social context, wherein those individual decisions are mediated",Default Inference,nodeset6146,113881,31330,113902,False,ND,ND,ND
96,ND : I don’t think it is,ND : I think it’s to do with credit liberalisation in the United States.,the reason that so many people have defaulted on their mortgages is not the result of tens of thousands of random decisions by individuals,it’s to do with credit liberalisation in the United States.,Default Inference,nodeset6146,113881,31356,113905,False,ND,ND,ND
97,"ND :  And, in turn, the credit liberalisation was fuelled as a specific economic policy to paper over the cracks of inequality, as a result of other economic policies",ND : I think it’s to do with credit liberalisation in the United States.,"And, in turn, the credit liberalisation was fuelled as a specific economic policy to paper over the cracks of inequality, as a result of other economic policies",it’s to do with credit liberalisation in the United States.,Default Inference,nodeset6146,31357,31356,113908,False,ND,ND,ND
98,Jamie Whyte : There’s no value for a banker in being prudent anymore,Jamie Whyte : They get nothing out of it,There’s no value for a banker in being prudent anymore,They get nothing out of it,RA,nodeset6147,31665,31668,113913,False,Jamie Whyte,Jamie Whyte,Jamie Whyte
99,Jamie Whyte : There’s no value for a banker in being prudent anymore,"Jamie Whyte : Prudent/imprudent, it makes no difference to people lending their money to banks",There’s no value for a banker in being prudent anymore,"Prudent/imprudent, it makes no difference to people lending their money to banks",RA,nodeset6147,31665,31674,113917,False,Jamie Whyte,Jamie Whyte,Jamie Whyte
100,"Jamie Whyte : Prudent/imprudent, it makes no difference to people lending their money to banks",Jamie Whyte : They face the same risk,"Prudent/imprudent, it makes no difference to people lending their money to banks",They face the same risk,RA,nodeset6147,31674,31680,113920,False,Jamie Whyte,Jamie Whyte,Jamie Whyte
101,Jamie Whyte : They face the same risk,"Jamie Whyte : because their risk is really with the government, and whether the government will intervene",They face the same risk,"their risk is really with the government, and whether the government will intervene",RA,nodeset6147,31680,31686,113924,False,Jamie Whyte,Jamie Whyte,Jamie Whyte
102,Matthew Taylor : Or should we just assume that people aren’t going to be suckers for such advertising?,Matthew Taylor : It gives a very strong impression that you can borrow with impunity,we should not just assume that people aren’t going to be suckers for such advertising,It gives a very strong impression that you can borrow with impunity,Default Inference,nodeset6147,113933,31692,113937,False,Matthew Taylor,Matthew Taylor,Matthew Taylor
103,Jamie Whyte :  I'm not sure about the ad.,Jamie Whyte : It may be that it’s a perfectly decent product,JW is not sure about the ad.,It may be that it’s a perfectly decent product,RA,nodeset6148,31707,31710,113941,False,Jamie Whyte,Jamie Whyte,Jamie Whyte
104,"Jamie Whyte : And the culture of irresponsibility, or recklessness, around finance has been created not by people’s stupidity","Jamie Whyte : But culture follows economics, in my opinion, as a good Marxist","the culture of irresponsibility, or recklessness, around finance has been created not by people’s stupidity",culture follows economics,Default Inference,nodeset6148,31725,31722,113954,False,Jamie Whyte,Jamie Whyte,Jamie Whyte
105,"Jamie Whyte : And the culture of irresponsibility, or recklessness, around finance has been created not by people’s stupidity",Jamie Whyte : People are no more stupid now than they were 150 years ago,"the culture of irresponsibility, or recklessness, around finance has been created not by people’s stupidity",People are no more stupid now than they were 150 years ago,Default Inference,nodeset6148,31725,31728,113957,False,Jamie Whyte,Jamie Whyte,Jamie Whyte
106,Jamie Whyte : People are no more stupid now than they were 150 years ago,Jamie Whyte : In fact they’re less stupid,People are no more stupid now than they were 150 years ago,they’re less stupid,Default Inference,nodeset6148,31728,31734,113959,False,Jamie Whyte,Jamie Whyte,Jamie Whyte
107,"Jamie Whyte : And the culture of irresponsibility, or recklessness, around finance has been created not by people’s stupidity","Jamie Whyte : It’s been created by a sense of impunity, of invulnerability","the culture of irresponsibility, or recklessness, around finance has been created not by people’s stupidity","It’s been created by a sense of impunity, of invulnerability",Default Inference,nodeset6148,31725,31740,113962,False,Jamie Whyte,Jamie Whyte,Jamie Whyte
108,CF : I think this is quite a tricky discussion,"CF : Well, I think he made a very nuanced case",this is quite a tricky discussion,First witness made a very nuanced case,RA,nodeset6149,32052,113964,113972,False,CF,CF,CF
109,CF : And he didn’t overdo it on making a virtue of savings,"MB : Well, he half did, didn’t he?",First witness didn’t overdo it on making a virtue of savings,he half did,CA,nodeset6149,113968,32058,113976,False,CF,MB,MB
110,"MB : Well, he half did, didn’t he?",CF : 	No,he half did,he didn't half did,CA,nodeset6149,32058,32064,113980,False,MB,CF,CF
