,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker
58,JA : I don't agree black people can be racist in the United Kingdom context.,MP : They can't be prejudiced against white people?,black people can't be racist in the United Kingdom context,They can be prejudiced against white people,CA,nodeset6061,111722,111729,111731,False,JA,MP,MP
59,"JA :  but it is imbued with geography, history and culture",JA : and that gives it its specific meaning,"it is imbued with geography, history and culture",that gives it its specific meaning,RA,nodeset6061,28728,28734,111740,False,JA,JA,JA
60,"MP : But is it your view that the history of colonialism, maybe the history of slavery, is responsible for racism in Britain?",MP : Is that part of your case?,"It is / is not JA's view that the history of colonialism, maybe the history of slavery, is responsible for racism in Britain",that is / is not part of JA's case,Default Paraphrase,nodeset6061,111711,111713,111743,False,MP,MP,MP
61,MP : They can't be prejudiced against white people?,"JA : in order to effect racism, you really need, in the proper sense of the word, you need prejudice and power",They can be prejudiced against white people,"in order to effect racism, you really need, in the proper sense of the word, you need prejudice and power",Default Conflict,nodeset6061,111729,28715,111745,True,MP,JA,JA
62,MP : They can't be prejudiced against white people?,"JA :  And it's not something that is within the scope of very many black British citizens, here in the United Kingdom or Europe",They can be prejudiced against white people,"it's not something that is within the scope of very many black British citizens, here in the United Kingdom or Europe",Default Conflict,nodeset6061,111729,28722,111745,True,MP,JA,JA
63,MP : They can't be prejudiced against white people?,"JA : If you're talking about internationally, then racism is not just a dictionary definition",They can be prejudiced against white people,"If you're talking about internationally, then racism is not just a dictionary definition",Default Conflict,nodeset6061,111729,28725,111745,True,MP,JA,JA
64,JA : There is no universal definition in relation to its application  ,"JA : If you're talking about internationally, then racism is not just a dictionary definition",There is no universal definition in relation to its application  ,"If you're talking about internationally, then racism is not just a dictionary definition",Default Inference,nodeset6061,28740,28725,111749,True,JA,JA,JA
65,JA : There is no universal definition in relation to its application  ,"JA :  but it is imbued with geography, history and culture",There is no universal definition in relation to its application  ,"it is imbued with geography, history and culture",Default Inference,nodeset6061,28740,28728,111749,True,JA,JA,JA
66,"MB : From your point of view, even if this hearing itself or the damages claims by these three individuals are concerned, should it be the occasion for examining the colonial legacy?","ES : In fact, some of us would argue the case doesn't go far enough","even if this hearing itself or the damages claims by these three individuals are concerned, it should / should not be the occasion for examining the colonial legacy",some of us would argue the case doesn't go far enough,RA,nodeset6062,111751,28796,111757,False,MB,ES,ES
67,"ES : In fact, some of us would argue the case doesn't go far enough",ES : because the colonial context is absent,some of us would argue the case doesn't go far enough,the colonial context is absent,RA,nodeset6062,28796,28802,111761,True,ES,ES,ES
68,"ES : In fact, some of us would argue the case doesn't go far enough","ES : and without recognising colonialism, it's very hard to understand what actually took place.",some of us would argue the case doesn't go far enough,"without recognising colonialism, it's very hard to understand what actually took place.",RA,nodeset6062,28796,28808,111761,True,ES,ES,ES
69,AM : So the guilt must be on the side of the colonial power,ES : We have to go to the roots of this problem,the guilt must be on the side of the colonial power,We have to go to the roots of this problem,Default Conflict,nodeset6063,111767,25852,111774,False,AM,ES,ES
70,ES : We have to go to the roots of this problem,ES : We don't look at it halfway through,We have to go to the roots of this problem,We don't look at it halfway through,Default Inference,nodeset6063,25852,25853,111779,False,ES,ES,ES
71,"AM : So it's a symbolic case, to open a wider door?",ES : For some people it is.,"it's a symbolic case, to open a wider door",For some people it is,Reframe,nodeset6063,25593,7430,111781,False,AM,ES,ES
72,ES : For me it is actually very significant,ES : it means that we are forced to engage in this conversation,it is actually very significant,it means that we are forced to engage in this conversation,Default Inference,nodeset6063,25608,25611,111793,False,ES,ES,ES
73,ES : For me it is actually very significant,ES : we are forced to do the analysis,it is actually very significant,we are forced to do the analysis,Default Inference,nodeset6063,25608,25876,111798,False,ES,ES,ES
74,CL : and therefore the only way forward was for Britain to withdraw,CL : and decided that this had taught an important lesson that the only way in which the British presence in Africa could be sustained was brutality,and therefore the only way forward was for Britain to withdraw,decided that this had taught an important lesson that the only way in which the British presence in Africa could be sustained was brutality,RA,nodeset6064,29054,29053,111803,False,CL,CL,CL
75,"CL : when news first came of the horrific massacre of Mau Mau prisoners in Kenya. Wide swathes of British public opinion and the media and the Prime Minister and most of the Cabinet were horrified and disgusted then, not now, then",CL : The key point about the British Empire is not necessarily that brutality does not happen but when it does,"when news first came of the horrific massacre of Mau Mau prisoners in Kenya. Wide swathes of British public opinion and the media and the Prime Minister and most of the Cabinet were horrified and disgusted then, not now, then",The key point about the British Empire is not necessarily that brutality does not happen but when it does,Default Inference,nodeset6064,111805,111809,111814,False,CL,CL,CL
76,CL : you often have public inquiries and open investigations,CL : The key point about the British Empire is not necessarily that brutality does not happen but when it does,you often have public inquiries and open investigations,The key point about the British Empire is not necessarily that brutality does not happen but when it does,Default Inference,nodeset6064,111816,111809,111821,False,CL,CL,CL
77,CL : and decided that this had taught an important lesson that the only way in which the British presence in Africa could be sustained was brutality,CL : you often have public inquiries and open investigations,decided that this had taught an important lesson that the only way in which the British presence in Africa could be sustained was brutality,you often have public inquiries and open investigations,Default Inference,nodeset6064,29053,111816,111824,False,CL,CL,CL
78,NL :  they are effectively trying to hand over to some kind of stable rule,"NL : By the 50s, the Empire is going, everyone knows that",they are effectively trying to hand over to some kind of stable rule,"By the 50s, the Empire is going",Default Inference,nodeset6064,111839,111833,111844,False,NL,NL,NL
79,NL :  they are effectively trying to hand over to some kind of stable rule,"NL : By the 50s, the Empire is going, everyone knows that",they are effectively trying to hand over to some kind of stable rule,"By the 50s, the Empire is going",Default Inference,nodeset6064,111839,111833,111844,False,NL,NL,NL
80,CL : This is all morally blameworthy?,LA : Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault,This is not all morally blameworthy,Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault,Default Conflict,nodeset6065,111846,29516,111858,False,CL,LA,LA
81,LA : Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault,LA : We know it wasn't,Not to be in a funk when you are reading intelligence reports which suggest your Empire is under sustained assault,it wasn't,Default Inference,nodeset6065,29516,111850,111861,False,LA,LA,LA
82,"CL : what's wrong with doing the British thing, owning up and paying up?",CL : a legal remedy exists,"theres' nothing wrong with doing the British thing, owning up and paying up",a legal remedy exists,Default Inference,nodeset6065,111852,111868,111873,False,CL,CL,CL
83,"CL : what's wrong with doing the British thing, owning up and paying up?",LA : It's not a question of the British thing,"theres' nothing wrong with doing the British thing, owning up and paying up",It's not a question of the British thing,Default Conflict,nodeset6065,111852,29533,111880,False,CL,LA,LA
84,LA : It's not a question of the British thing,"LA : it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state",It's not a question of the British thing,"it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state",Default Inference,nodeset6065,29533,29537,111883,False,LA,LA,LA
85,"LA : it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state",LA : did the British state know what they were doing? I think it did,"it's the British thing of legally examining it, and rationally going through the evidence and finding complete proof, total proof that these people suffered injuries in such a place in such a way, and that the officers who commanded them, then the judges and the lawyers can say how far are these agents of the British state",the British state knew what they were doing ,Default Inference,nodeset6065,29537,111885,111890,False,LA,lLA,LA
86,MB : the first and third witnesses didn't seem to draw much a distinction between the British Empire and the Third Reich.,The first and third witnesses : atrocities should be - war crimes or atrocities perpetrated against civilians should be - justice should be done regardless of limit of time,the first and third witnesses didn't seem to draw much a distinction between the British Empire and the Third Reich.,atrocities should be - war crimes or atrocities perpetrated against civilians should be - justice should be done regardless of limit of time,Default Inference,nodeset6066,29555,111907,111914,False,MB,The first and third witnesses,MB
87,MP : we are not prosecuting crimes that were committed against these unfortunate people,MP : we don't have the perpetrators in court,we are not prosecuting crimes that were committed against these unfortunate people,we don't have the perpetrators in court,Default Inference,nodeset6066,29589,29585,111918,False,MP,MP,MP
88,MP : we don't have the perpetrators in court,MP : they are seeking civilian reparation,we don't have the perpetrators in court,they are seeking civilian reparation,Default Inference,nodeset6066,29585,29592,111922,False,MP,MP,MP
89,"MT : The pragmatic justification is that they - if they are to take their case against anybody, we, this state, the British state now, is the closest they can get to it.",AM : That's not good enough,"The pragmatic justification is that they - if they are to take their case against anybody, we, this state, the British state now, is the closest they can get to it.",That's not good enough,CA,nodeset6067,8238,29627,111937,False,MT,AM,MT
90,MT : and I would say there is both a pragmatic and a historic justification,"MT : The pragmatic justification is that they - if they are to take their case against anybody, we, this state, the British state now, is the closest they can get to it.",there is both a pragmatic and a historic justification,"The pragmatic justification is that they - if they are to take their case against anybody, we, this state, the British state now, is the closest they can get to it.",RA,nodeset6067,29635,8238,111943,True,MT,MT,MT
91,"MT : Of course you have to draw lines, Melanie,",MT : but these people are alive,you have to draw lines,these people are alive,Default Rephrase,nodeset6067,29612,29615,111945,True,MT,MT,MT
92,"MT : Of course you have to draw lines, Melanie,",MT : and I would say there is both a pragmatic and a historic justification,you have to draw lines,there is both a pragmatic and a historic justification,Default Rephrase,nodeset6067,29612,29635,111945,True,MT,MT,MT
93,"MT : The pragmatic justification is that they - if they are to take their case against anybody, we, this state, the British state now, is the closest they can get to it.",MT : They can't go back and dig up Macmillan,"The pragmatic justification is that they - if they are to take their case against anybody, we, this state, the British state now, is the closest they can get to it.",They can't go back and dig up Macmillan,Default Inference,nodeset6067,8238,29621,111947,False,MT,MT,MT
94,MT : and I would say there is both a pragmatic and a historic justification,"MT : Second, there's no question this country has benefitted and continues to benefit from the extraction it took from the British Empire.",there is both a pragmatic and a historic justification,there's no question this country has benefitted and continues to benefit from the extraction it took from the British Empire.,RA,nodeset6067,29635,111939,111943,True,MT,MT,MT
95,"MB : Where does moral justice lie when we look back at our imperial past, would you say?","NL : Well, I think it very much depends which side you take it,",moral justice lies xxx when we look back at our imperial past,"it very much depends which side you take it,",Default Rephrase,nodeset6068,111949,30402,111953,False,MB,NL,NL
96,"NL : Well, I think it very much depends which side you take it,",NL : you are on the side of the nationalist movements which replaced the British Empire,"it very much depends which side you take it,",you are on the side of the nationalist movements which replaced the British Empire,Default Inference,nodeset6068,30402,111955,111960,True,NL,NL,NL
97,"NL : Well, I think it very much depends which side you take it,",NL : are you on the side of the imperialists which have had a very bad press for so many years?,"it very much depends which side you take it,",you are / are not on the side of the imperialists which have had a very bad press for so many years,Default Inference,nodeset6068,30402,111961,111960,True,NL,NL,NL
98,MB : Do you think we have got a lot to apologise for?,NL : I don't think we do,NL thinks / does not think we have got a lot to apologize for,we do not have got a lot to apologize for,Default Rephrase,nodeset6069,111966,111969,111971,False,NL,NL,NL
99,NL : I don't think we do,NL : It very much depends on the specific incident you are talking about and which side are you going to go on?,we do not have got a lot to apologize for,It very much depends on the specific incident you are talking about and which side are you going to go on?,RA,nodeset6069,111969,7940,111972,True,NL,NL,NL
100,NL : I don't think we do,NL : We are talking about the violence which may have been perpetrated against Mau Mau suspects,we do not have got a lot to apologize for,We are talking about the violence which may have been perpetrated against Mau Mau suspects,RA,nodeset6069,111969,7943,111972,True,NL,NL,NL
101,"MB : Well, the government has acknowledged that they were ill treated in court, but I won't go on with that","NL : We know Kenya was a brutal war,",the government has acknowledged that they were ill treated in court,"Kenya was a brutal war,",RA,nodeset6069,29007,30449,111981,False,MB,NL,NL
102,MB : What do you think?,MB : Do you think we have got a lot to apologise for?,NL thinks xxx,NL thinks / does not think we have got a lot to apologize for,Default Rephrase,nodeset6069,111986,111966,111988,False,MB,MB,MB
103,NL : but what about the violence that the Mau Mau perpetrated against settlers and particularly loyal Africans.,"NL : We know Kenya was a brutal war,",the violence that the Mau Mau perpetrated against settlers and particularly loyal Africans xxx,"Kenya was a brutal war,",Default Inference,nodeset6069,111978,30449,111993,False,NL,NL,NL
104,"CL : The horror that was going round there, which nearly cost Macmillan his election, was horror at the way the British Army had behaved, not at Mau Mau.",NL : I think there was horror at Mau Mau.,"The horror that was going round there, which nearly cost Macmillan his election, was horror at the way the British Army had behaved, not at Mau Mau.",there was horror at Mau Mau.,CA,nodeset6070,7986,111995,112000,False,CL,NL,CL
105,NL : I think there was horror at Mau Mau.,"NL :  Let's be straight, the situation in Kenya was a bloody dirty war",there was horror at Mau Mau.,the situation in Kenya was a bloody dirty war,Default Inference,nodeset6070,111995,30507,112007,True,NL,NL,NL
106,NL : I think there was horror at Mau Mau.,NL : no one really comes out very well,there was horror at Mau Mau.,no one really comes out very well,Default Inference,nodeset6070,111995,112009,112007,True,NL,NL,NL
107,"NL :  it's a situation where, you know, six years before the start of the Kenya emergency, the British Army in India is being hammered because it's not brutal enough, by the nationalists and the Muslims",NL : because it's not brutal enough,"it's a situation where, six years before the start of the Kenya emergency, the British Army in India is being hammered by the nationalists and the Muslims",it's not brutal enough,Default Inference,nodeset6070,112014,112019,112024,True,NL,NL,NL
108,"NL :  it's a situation where, you know, six years before the start of the Kenya emergency, the British Army in India is being hammered because it's not brutal enough, by the nationalists and the Muslims","Nationalists and Muslims : you are not shooting people or controlling the population, you are basically letting us die","it's a situation where, six years before the start of the Kenya emergency, the British Army in India is being hammered by the nationalists and the Muslims","you are not shooting people or controlling the population, you are basically letting Nationalists and Muslims die",Default Inference,nodeset6070,112014,112026,112024,True,NL,Nationalists and Muslims,Nationalists and Muslims
109,"NL : so in a sense we're saying that, you know, we're criticising the fireman","NL : because he has used too much water to actually, you know, quench the fire",we're criticising the fireman,the fireman has used too much water to quench the fire,Default Inference,nodeset6070,112034,112039,112044,False,NL,NL,NL
110,NL : I think these judgments are very difficult to make,"NL : because he has used too much water to actually, you know, quench the fire",these judgments are very difficult to make,the fireman has used too much water to quench the fire,Default Conflict,nodeset6070,112046,112039,112051,False,NL,NL,NL
111,NL : I think these judgments are very difficult to make,"CL :  in the context of what we're talking about tonight the strange phenomenon then occurred, where the British went in denial and have been in denial ever since.",these judgments are very difficult to make,"in the context of what we're talking about tonight the strange phenomenon then occurred, where the British went in denial and have been in denial ever since.",Default Conflict,nodeset6070,112046,30544,112058,False,NL,CL,CL
112,NL :  and they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress,"NL : By the 50s, the Empire is going, everyone knows that",they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress,"By the 50s, the Empire is going",Default Inference,nodeset6071,112073,111833,112078,False,NL,NL,NL
113,NL :  and they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress,"NL : By the 50s, the Empire is going, everyone knows that",they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress,"By the 50s, the Empire is going",Default Inference,nodeset6071,112073,111833,112078,False,NL,NL,NL
114,NL :  and they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress,"NL : the Hola circumstances and the shock did not change the public consciousness about ourselves as an imperial power,and realised it was morally unsustainable from then onwards",they are effectively trying to hand over to some kind of stable rule and in certain circumstances you have to suppress,"the Hola circumstances and the shock did not change the public consciousness about ourselves as an imperial power,and realised it was morally unsustainable from then onwards",Default Rephrase,nodeset6071,112073,112083,112091,False,NL,NL,NL
115,"NL : the Hola circumstances and the shock did not change the public consciousness about ourselves as an imperial power,and realised it was morally unsustainable from then onwards",NL : The are other instances that bring up questions about imperial rule,"the Hola circumstances and the shock did not change the public consciousness about ourselves as an imperial power,and realised it was morally unsustainable from then onwards",The are other instances that bring up questions about imperial rule,Default Inference,nodeset6071,112083,112097,112102,False,NL,NL,NL
116,NL : but the key thing in British society is the horror at the violence of the Mau Mau which is profoundly shocking,NL : The are other instances that bring up questions about imperial rule,key thing in British society is the horror at the violence of the Mau Mau which is profoundly shocking,The are other instances that bring up questions about imperial rule,Default Inference,nodeset6071,112104,112097,112109,False,NL,NL,NL
117,"MP : but I mean, relative to many other countries surely it's an exemplar of inclusivity","MP : for example, in contrast to, say, America, you don't have a kind of polarisation between black and white here in the way that you do there.",relative to many other countries surely it's an exemplar of inclusivity,"in contrast to, say, America, you don't have a kind of polarisation between black and white here in the way that you do there.",RA,nodeset6072,28635,28641,112114,False,MP,MP,MP
118,JA : I think you raise an interesting point,"JA : because whilst the African Americans are socially segregated from their American cousins, they are economically integrated",MP raises an interesting point,"whilst the African Americans are socially segregated from their American cousins, they are economically integrated",RA,nodeset6072,28653,28656,112121,True,JA,JA,JA
119,JA : I think you raise an interesting point,JA : And the extent to which an African American is prepared to stand by the flag is far in advance than any black British individual,MP raises an interesting point,the extent to which an African American is prepared to stand by the flag is far in advance than any black British individual,RA,nodeset6072,28653,28665,112121,True,JA,JA,JA
120,JA : I think that hints to the kind of schism around citizenship that we have here in the United Kingdom,JA : And the extent to which an African American is prepared to stand by the flag is far in advance than any black British individual,that hints to the kind of schism around citizenship that we have here in the United Kingdom,the extent to which an African American is prepared to stand by the flag is far in advance than any black British individual,RA,nodeset6072,28668,28665,112126,False,JA,JA,JA
121,JA : Britain is non-inclusive,"MP : but I mean, relative to many other countries surely it's an exemplar of inclusivity",Britain is non-inclusive,relative to many other countries surely it's an exemplar of inclusivity,Default Conflict,nodeset6072,28630,28635,112138,False,JA,MP,MP
122,"MP : for example, in contrast to, say, America, you don't have a kind of polarisation between black and white here in the way that you do there.","JA : because whilst the African Americans are socially segregated from their American cousins, they are economically integrated","in contrast to, say, America, you don't have a kind of polarisation between black and white here in the way that you do there.","whilst the African Americans are socially segregated from their American cousins, they are economically integrated",Default Conflict,nodeset6072,28641,28656,112141,False,MP,JA,JA
123,JA : I think that hints to the kind of schism around citizenship that we have here in the United Kingdom,JA : It's not a case of just legality,that hints to the kind of schism around citizenship that we have here in the United Kingdom,It's not a case of just legality,Default Inference,nodeset6072,28668,28674,112144,True,JA,JA,JA
124,JA : I think that hints to the kind of schism around citizenship that we have here in the United Kingdom,JA : It is a case of people feeling that they have a place,that hints to the kind of schism around citizenship that we have here in the United Kingdom,It is a case of people feeling that they have a place,Default Inference,nodeset6072,28668,28677,112144,True,JA,JA,JA
125,Esther : Justice to me would be multi-facetted,"Esther : we have to acknowledge that there are survivors, who have never experienced any form of recompense",Justice would be multi-facetted,"there are survivors, who have never experienced any form of recompense",Default Inference,nodeset6073,38192,25452,112154,True,Esther,Esther,Esther
126,Esther : Justice to me would be multi-facetted,Esther : they do need to be compensated for the crimes that were committed against them,Justice would be multi-facetted,they do need to be compensated for the crimes that were committed against them,Default Inference,nodeset6073,38192,25462,112154,True,Esther,Esther,Esther
127,Esther : they do need to be compensated for the crimes that were committed against them,"Esther : you know, these are elderly victims",they do need to be compensated for the crimes that were committed against them,these are elderly victims,Default Inference,nodeset6073,25462,25457,112159,False,Esther,Esther,Esther
128,Anne  : You said two things,Anne : You said it's quite specific and you think of it as one specific legal trial with evidence that can be weighed and damages which may then be awarded,Esther said two things,Esther : it's quite specific and I think of it as one specific legal trial with evidence that can be weighed and damages which may then be awarded,Default Inference,nodeset6073,112163,112169,112175,True,Anne,Anne,Anne
129,Anne  : You said two things,Anne :you've also said that it's more broadly about colonialism,Esther said two things,Esther : it's more broadly about colonialism,Default Inference,nodeset6073,112163,38178,112175,True,Anne,Anne,Anne
130,Anne  : So what would justice look like to you?,Esther : Justice to me would be multi-facetted,justice would look like xxx,Justice would be multi-facetted,Default Rephrase,nodeset6073,38724,38192,112184,False,Anne,Esther,Anne
131,Esther : Justice to me would be multi-facetted,"Esther : Of course, there is value in specific cases",Justice would be multi-facetted,there is value in specific cases,Default Inference,nodeset6073,38192,38196,112187,False,Esther,Esther,Esther
132,"Esther :  However, we must not lose sight of the fact that they represent a class of people",Esther : and there are many other survivors who do not currently have access to justice,they represent a class of people,there are many other survivors who do not currently have access to justice,Default Inference,nodeset6073,38214,38217,112191,False,Esther,Esther,Esther
133,Esther : Justice to me would be multi-facetted,Esther : and there are many other survivors who do not currently have access to justice,Justice would be multi-facetted,there are many other survivors who do not currently have access to justice,Default Inference,nodeset6073,38192,38217,112154,True,Esther,Esther,Esther
134,"Anne  : We also know that there were atrocities on both sides, including in this big group of people that you've just referred to",Anne  : This took place in the colonial era,"there were atrocities on both sides, including in this big group of people that Esther has just referred to",This took place in the colonial era,Default Inference,nodeset6074,38749,38223,112196,False,Anne,Anne,Anne
135,Esther : How I would answer that is I would look at the context,Esther : This was a war of liberation,Esther would look at the context,This was a war of liberation,Default Inference,nodeset6074,38758,25496,112204,False,Esther,Esther,Esther
136,Esther : This was a war of liberation,Esther :  Actually it was an unjust war that was being levelled against the Africans,This was a war of liberation,it was an unjust war that was being levelled against the Africans,Default Inference,nodeset6074,25496,25501,112207,True,Esther,Esther,Esther
137,Esther : This was a war of liberation,"Esther : They were dispossessed of their land, which began formally, in terms of the carving up of Africa",This was a war of liberation,"They were dispossessed of their land, which began formally, in terms of the carving up of Africa",Default Inference,nodeset6074,25496,25506,112207,True,Esther,Esther,Esther
138,Anne  : so would you be also happy for them to face trial for atrocities committed against white settlers and British service personnel at the time?,Esther : How I would answer that is I would look at the context,Esther would not be also happy for them to face trial for atrocities committed against white settlers and British service personnel at the time,Esther would look at the context,Default Rephrase,nodeset6074,38755,38758,112211,False,Anne,Esther,Esther
139,Esther : the context is colonialism,"Melanie : one could equally say the context for the atrocities having been carried out by agents of the British Government at the time, the context was the atrocities being carried out against them by the Mau Mau",the context is colonialism,"the context for the atrocities having been carried out by agents of the British Government at the time, the context was the atrocities being carried out against them by the Mau Mau",Default Conflict,nodeset6075,26061,26064,112243,False,Esther,Melanie,Melanie
140,Melanie : Why are you being so selective about your context?,Melanie : you are in fact saying that the context is colonialism,Esther is being selective about her context,Esther : the context is colonialism,Default Inference,nodeset6075,112245,112231,112250,True,Melanie,Melanie,Melanie
141,Melanie : Why are you being so selective about your context?,"Melanie : one could equally say the context for the atrocities having been carried out by agents of the British Government at the time, the context was the atrocities being carried out against them by the Mau Mau",Esther is being selective about her context,"the context for the atrocities having been carried out by agents of the British Government at the time, the context was the atrocities being carried out against them by the Mau Mau",Default Inference,nodeset6075,112245,26064,112250,True,Melanie,Melanie,Melanie
142,Esther :  that's not correct,Esther : That's not what I stated,that's not correct,That's not what Esther stated,Default Inference,nodeset6075,112252,112256,112261,False,Esther,Esther,Esther
143,Esther : That's not what I stated,Esther : We're looking at this case in a multiple ways,That's not what Esther stated,We're looking at this case in a multiple ways,Default Inference,nodeset6075,112256,26093,112270,False,Esther,Esther,Esther
