,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,locution_conclusion,locution_premise,conclusion,premise,connection,nodeset_id,id_conclusion,id_premise,id_connection,argument_linked,speaker_conclusion,speaker_premise,speaker,Text,same_speakers,different_speakers,Words,Num_words,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,num care.virtue,num care.vice,num fairness.virtue,num fairness.vice,num loyalty.virtue,num loyalty.vice,num authority.virtue,num authority.vice,num sanctity.virtue,num sanctity.vice,contains_care_virtue,contains_care_vice,contains_fairness_virtue,contains_fairness_vice,contains_sanctity_virtue,contains_sanctity_vice,contains_authority_virtue,contains_authority_vice,contains_loyalty_virtue,contains_loyalty_vice,no moral foundation words
10,10,10,10,"And unfortunately, as a result, savers have lost out","Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do",savers have lost out,"Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do",RA,nodeset6122,113338,113334,113343,False,SR,SR,SR,"Somehow there was an extraordinary sea change, in which acquiring debt not only lost the stigma that it had before but became actually the thing to do,And unfortunately, as a result, savers have lost out",True,False,"['somehow', 'there', 'be', 'an', 'extraordinary', 'sea', 'change', 'in', 'which', 'acquire', 'debt', 'not', 'only', 'lose', 'the', 'stigma', 'that', 'it', 'have', 'before', 'but', 'become', 'actually', 'the', 'thing', 'to', 'do', 'and', 'unfortunately', 'as', 'a', 'result', 'saver', 'have', 'lose', 'out']",36,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,11,11,11,because actually sometimes taking out credit can also help you not be dependent.,"Well, the problem we always have with debt, which I would use rather than credit, is that ultimately there is interest.",sometimes taking out credit can also help you not be dependent.,"the problem we always have with debt, which SR would use rather than credit, is that ultimately there is interest.",CA,nodeset6124,26860,113365,113368,True,CF,SR,CF,"Well, the problem we always have with debt, which I would use rather than credit, is that ultimately there is interest.,because actually sometimes taking out credit can also help you not be dependent.",False,True,"['well', 'the', 'problem', 'we', 'always', 'have', 'with', 'debt', 'which', 'I', 'would', 'use', 'rather', 'than', 'credit', 'be', 'that', 'ultimately', 'there', 'be', 'interest', 'because', 'actually', 'sometimes', 'take', 'out', 'credit', 'can', 'also', 'help', 'you', 'not', 'be', 'dependent']",34,help,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,12,12,12,Is that not true?,"Well, the problem we always have with debt, which I would use rather than credit, is that ultimately there is interest.",sometimes taking out credit can also help you not be dependent.,"the problem we always have with debt, which SR would use rather than credit, is that ultimately there is interest.",CA,nodeset6124,26860,113365,113368,True,CF,SR,CF,"Well, the problem we always have with debt, which I would use rather than credit, is that ultimately there is interest.,Is that not true?",False,True,"['well', 'the', 'problem', 'we', 'always', 'have', 'with', 'debt', 'which', 'I', 'would', 'use', 'rather', 'than', 'credit', 'be', 'that', 'ultimately', 'there', 'be', 'interest', 'be', 'that', 'not', 'true']",25,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,13,13,13,because actually sometimes taking out credit can also help you not be dependent.,And the interest has to be paid back as well as the debt.,sometimes taking out credit can also help you not be dependent.,the interest has to be paid back as well as the debt.,CA,nodeset6124,26860,26870,113368,True,CF,SR,SR,"And the interest has to be paid back as well as the debt.,because actually sometimes taking out credit can also help you not be dependent.",False,True,"['and', 'the', 'interest', 'have', 'to', 'be', 'pay', 'back', 'as', 'well', 'as', 'the', 'debt', 'because', 'actually', 'sometimes', 'take', 'out', 'credit', 'can', 'also', 'help', 'you', 'not', 'be', 'dependent']",26,help,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,14,14,14,Is that not true?,And the interest has to be paid back as well as the debt.,sometimes taking out credit can also help you not be dependent.,the interest has to be paid back as well as the debt.,CA,nodeset6124,26860,26870,113368,True,CF,SR,SR,"And the interest has to be paid back as well as the debt.,Is that not true?",False,True,"['and', 'the', 'interest', 'have', 'to', 'be', 'pay', 'back', 'as', 'well', 'as', 'the', 'debt', 'be', 'that', 'not', 'true']",17,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,15,15,15,saving is morally good and can lead you to not be dependent,because actually sometimes taking out credit can also help you not be dependent.,saving is morally good and can lead you to not be dependent,sometimes taking out credit can also help you not be dependent.,CA,nodeset6124,113382,26860,113388,False,SR,CF,CF,"because actually sometimes taking out credit can also help you not be dependent.,saving is morally good and can lead you to not be dependent",False,True,"['because', 'actually', 'sometimes', 'take', 'out', 'credit', 'can', 'also', 'help', 'you', 'not', 'be', 'dependent', 'saving', 'be', 'morally', 'good', 'and', 'can', 'lead', 'you', 'to', 'not', 'be', 'dependent']",25,help,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,16,16,16,saving is morally good and can lead you to not be dependent,Is that not true?,saving is morally good and can lead you to not be dependent,sometimes taking out credit can also help you not be dependent.,CA,nodeset6124,113382,26860,113388,False,SR,CF,CF,"Is that not true?,saving is morally good and can lead you to not be dependent",False,True,"['be', 'that', 'not', 'true', 'save', 'be', 'morally', 'good', 'and', 'can', 'lead', 'you', 'to', 'not', 'be', 'dependent']",16,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,17,17,17,"Well, the problem we always have with debt, which I would use rather than credit, is that ultimately there is interest.",And certainly all debt is not immoral.,"the problem we always have with debt, which SR would use rather than credit, is that ultimately there is interest.",all debt is not immoral.,MA,nodeset6124,113365,26877,113390,False,SR,SR,SR,"And certainly all debt is not immoral.,Well, the problem we always have with debt, which I would use rather than credit, is that ultimately there is interest.",True,False,"['and', 'certainly', 'all', 'debt', 'be', 'not', 'immoral', 'well', 'the', 'problem', 'we', 'always', 'have', 'with', 'debt', 'which', 'I', 'would', 'use', 'rather', 'than', 'credit', 'be', 'that', 'ultimately', 'there', 'be', 'interest']",28,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,18,18,18,And certainly all debt is not immoral.,I would never dream of saying that,all debt is not immoral.,SR would never dream of saying that,MA,nodeset6124,26877,113371,113392,False,SR,SR,SR,"I would never dream of saying that,And certainly all debt is not immoral.",True,False,"['I', 'would', 'never', 'dream', 'of', 'say', 'that', 'and', 'certainly', 'all', 'debt', 'be', 'not', 'immoral']",14,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,19,19,19,I would never dream of saying that,"And certainly, as you pointed out before, much debt is incredibly valuable.",SR would never dream of saying that,much debt is incredibly valuable.,RA,nodeset6124,113371,26883,113394,False,SR,SR,SR,"And certainly, as you pointed out before, much debt is incredibly valuable.,I would never dream of saying that",True,False,"['and', 'certainly', 'as', 'you', 'point', 'out', 'before', 'much', 'debt', 'be', 'incredibly', 'valuable', 'I', 'would', 'never', 'dream', 'of', 'say', 'that']",19,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,20,20,20,"And debt that actually goes to something that’s productive, and actually helps, is to be encouraged. ","And certainly, as you pointed out before, much debt is incredibly valuable.","debt that actually goes to something that’s productive, and actually helps, is to be encouraged. ",much debt is incredibly valuable.,RA,nodeset6124,26884,26883,113396,False,SR,SR,SR,"And certainly, as you pointed out before, much debt is incredibly valuable.,And debt that actually goes to something that’s productive, and actually helps, is to be encouraged. ",True,False,"['and', 'certainly', 'as', 'you', 'point', 'out', 'before', 'much', 'debt', 'be', 'incredibly', 'valuable', 'and', 'debt', 'that', 'actually', 'go', 'to', 'something', 'that', '’', 'productive', 'and', 'actually', 'help', 'be', 'to', 'be', 'encourage']",29,help,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,21,21,21,"Yes. So, in that sense then, it’s quite morally neutral. This is the point I'm making.","Because say for example, I don’t know, a young person decides to take out a mortgage, which is taking out a massive debt, so that they don’t have to be dependent on their parents, or don’t have to be maybe dependent on a council house. It’s a sign of independence.",it’s (to get in debt) quite morally neutral.,"a young person decides to take out a mortgage, which is taking out a massive debt, so that they don’t have to be dependent on their parents, or don’t have to be maybe dependent on a council house. It’s a sign of independence.",RA,nodeset6126,26889,26890,113411,False,CF,CF,CF,"Because say for example, I don’t know, a young person decides to take out a mortgage, which is taking out a massive debt, so that they don’t have to be dependent on their parents, or don’t have to be maybe dependent on a council house. It’s a sign of independence.,Yes. So, in that sense then, it’s quite morally neutral. This is the point I'm making.",True,False,"['because', 'say', 'for', 'example', 'I', 'do', 'not', 'know', 'a', 'young', 'person', 'decide', 'to', 'take', 'out', 'a', 'mortgage', 'which', 'be', 'take', 'out', 'a', 'massive', 'debt', 'so', 'that', 'they', 'do', 'not', 'have', 'to', 'be', 'dependent', 'on', 'their', 'parent', 'or', 'do', 'not', 'have', 'to', 'be', 'maybe', 'dependent', 'on', 'a', 'council', 'house', 'it', '’', 'a', 'sign', 'of', 'independence', 'yes', 'so', 'in', 'that', 'sense', 'then', 'it', '’', 'quite', 'morally', 'neutral', 'this', 'be', 'the', 'point', 'I', 'm', 'make']",72,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,22,22,22,"Yes. So, in that sense then, it’s quite morally neutral. This is the point I'm making.","But the problems we have, that were discussed in the introduction, is when debt gets out of control.",it’s (to get in debt) quite morally neutral.,the problems we have is when debt gets out of control.,MA,nodeset6126,26889,26897,113417,False,CF,SR,SR,"But the problems we have, that were discussed in the introduction, is when debt gets out of control.,Yes. So, in that sense then, it’s quite morally neutral. This is the point I'm making.",False,True,"['but', 'the', 'problem', 'we', 'have', 'that', 'be', 'discuss', 'in', 'the', 'introduction', 'be', 'when', 'debt', 'get', 'out', 'of', 'control', 'yes', 'so', 'in', 'that', 'sense', 'then', 'it', '’', 'quite', 'morally', 'neutral', 'this', 'be', 'the', 'point', 'I', 'm', 'make']",36,,,,,,,control,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,23,23,23,"But the problems we have, that were discussed in the introduction, is when debt gets out of control.","When people either knowingly, or unknowingly, get into a position where they simply cannot service the debt. And that’s where the problems start arising",the problems we have is when debt gets out of control.,"When people either knowingly, or unknowingly, get into a position where they simply cannot service the debt. And that’s where the problems start arising",MA,nodeset6126,26897,113420,113425,False,SR,SR,SR,"When people either knowingly, or unknowingly, get into a position where they simply cannot service the debt. And that’s where the problems start arising,But the problems we have, that were discussed in the introduction, is when debt gets out of control.",True,False,"['when', 'people', 'either', 'knowingly', 'or', 'unknowingly', 'get', 'into', 'a', 'position', 'where', 'they', 'simply', 'can', 'not', 'service', 'the', 'debt', 'and', 'that', '’', 'where', 'the', 'problem', 'start', 'arise', 'but', 'the', 'problem', 'we', 'have', 'that', 'be', 'discuss', 'in', 'the', 'introduction', 'be', 'when', 'debt', 'get', 'out', 'of', 'control']",44,,,,,,,control,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,24,24,24,"I'm simply asking you, [there’s therefore nothing necessarily positive about saving",It’s not necessarily a moral good,there’s nothing necessarily positive about saving,It’s not necessarily a moral good,RA,nodeset6133,113495,26972,113498,False,Claire,Claire,Claire,"It’s not necessarily a moral good,I'm simply asking you, [there’s therefore nothing necessarily positive about saving",True,False,"['it', '’', 'not', 'necessarily', 'a', 'moral', 'good', 'I', 'm', 'simply', 'ask', 'you', 'there', '’', 'therefore', 'nothing', 'necessarily', 'positive', 'about', 'save']",20,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,25,25,25,It’s not necessarily a moral good,It can be a way of demonstrating independence,It’s not necessarily a moral good,It can be a way of demonstrating independence,RA,nodeset6133,26972,26977,113503,True,Claire,Claire,Claire,"It can be a way of demonstrating independence,It’s not necessarily a moral good",True,False,"['it', 'can', 'be', 'a', 'way', 'of', 'demonstrate', 'independence', 'it', '’', 'not', 'necessarily', 'a', 'moral', 'good']",15,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,26,26,26,It’s not necessarily a moral good,It can be risk averse,It’s not necessarily a moral good,It can be risk averse,RA,nodeset6133,26972,26982,113503,True,Claire,Claire,Claire,"It can be risk averse,It’s not necessarily a moral good",True,False,"['it', 'can', 'be', 'risk', 'averse', 'it', '’', 'not', 'necessarily', 'a', 'moral', 'good']",12,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,27,27,27,It’s not necessarily a moral good,It can be conservative,It’s not necessarily a moral good,It can be conservative,RA,nodeset6133,26972,26985,113503,True,Claire,Claire,Claire,"It can be conservative,It’s not necessarily a moral good",True,False,"['it', 'can', 'be', 'conservative', 'it', '’', 'not', 'necessarily', 'a', 'moral', 'good']",11,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,28,28,28,It’s not necessarily a moral good,It can mean you get stuck,It’s not necessarily a moral good,It can mean you get stuck,RA,nodeset6133,26972,26988,113503,True,Claire,Claire,Claire,"It can mean you get stuck,It’s not necessarily a moral good",True,False,"['it', 'can', 'mean', 'you', 'get', 'stuck', 'it', '’', 'not', 'necessarily', 'a', 'moral', 'good']",13,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,29,29,29,"But is there anything so wrong with people saying, “I want to go on holiday and I'm going to take out a loan for it. And I think I can pay that back.”","I suppose, by and large, I hold the personal view that [it is better to delay consumption in order to acquire something that you then have outright, rather than necessarily take out a debt","there is something wrong with people saying, “I want to go on holiday and I'm going to take out a loan for it. And I think I can pay that back.”","it is better to delay consumption in order to acquire something that you then have outright, rather than necessarily take out a debt",RA,nodeset6133,113508,27001,113514,False,Claire,Simon,Simon,"I suppose, by and large, I hold the personal view that [it is better to delay consumption in order to acquire something that you then have outright, rather than necessarily take out a debt,But is there anything so wrong with people saying, “I want to go on holiday and I'm going to take out a loan for it. And I think I can pay that back.”",False,True,"['I', 'suppose', 'by', 'and', 'large', 'I', 'hold', 'the', 'personal', 'view', 'that', 'it', 'be', 'well', 'to', 'delay', 'consumption', 'in', 'order', 'to', 'acquire', 'something', 'that', 'you', 'then', 'have', 'outright', 'rather', 'than', 'necessarily', 'take', 'out', 'a', 'debt', 'but', 'be', 'there', 'anything', 'so', 'wrong', 'with', 'people', 'say', 'I', 'want', 'to', 'go', 'on', 'holiday', 'and', 'I', 'm', 'go', 'to', 'take', 'out', 'a', 'loan', 'for', 'it', 'and', 'I', 'think', 'I', 'can', 'pay', 'that', 'back']",68,,,,,,,order,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30,30,30,30,what you thought about bankruptcy,"There are times I think that maybe it’s a good idea, in a free society, to free people if they do get into terrible debt",bankruptcy is xxx,"it’s a good idea, in a free society, to free people if they do get into terrible debt",MA,nodeset6134,113546,27019,113556,False,Claire,Claire,Claire,"There are times I think that maybe it’s a good idea, in a free society, to free people if they do get into terrible debt,what you thought about bankruptcy",True,False,"['there', 'be', 'time', 'I', 'think', 'that', 'maybe', 'it', '’', 'a', 'good', 'idea', 'in', 'a', 'free', 'society', 'to', 'free', 'people', 'if', 'they', 'do', 'get', 'into', 'terrible', 'debt', 'what', 'you', 'think', 'about', 'bankruptcy']",31,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,31,31,31,We are not facing the problem at all,"And I think one of the problems we’re facing now is the fact that organisations, and indeed people who require debt, that what we’re doing is rolling everything over",We are not facing the problem at all,"one of the problems we’re facing now is the fact that organisations, and indeed people who require debt, that what we’re doing is rolling everything over",RA,nodeset6134,27028,27025,113560,False,Simon,Simon,Simon,"And I think one of the problems we’re facing now is the fact that organisations, and indeed people who require debt, that what we’re doing is rolling everything over,We are not facing the problem at all",True,False,"['and', 'I', 'think', 'one', 'of', 'the', 'problem', 'we', '’', 're', 'face', 'now', 'be', 'the', 'fact', 'that', 'organisation', 'and', 'indeed', 'people', 'who', 'require', 'debt', 'that', 'what', 'we', '’', 're', 'do', 'be', 'roll', 'everything', 'over', 'we', 'be', 'not', 'face', 'the', 'problem', 'at', 'all']",41,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,32,32,32,We are not facing the problem at all,We’re pretending the problem isn’t there,We are not facing the problem at all,We’re pretending the problem isn’t there,RA,nodeset6134,27028,27031,113563,False,Simon,Simon,Simon,"We’re pretending the problem isn’t there,We are not facing the problem at all",True,False,"['we', '’', 're', 'pretend', 'the', 'problem', 'be', 'not', 'there', 'we', 'be', 'not', 'face', 'the', 'problem', 'at', 'all']",17,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,33,33,33,"And all that happens is it’s getting much, much worse",We’re pretending the problem isn’t there,"all that happens is it’s getting much, much worse",We’re pretending the problem isn’t there,RA,nodeset6134,27034,27031,113566,False,Simon,Simon,Simon,"We’re pretending the problem isn’t there,And all that happens is it’s getting much, much worse",True,False,"['we', '’', 're', 'pretend', 'the', 'problem', 'be', 'not', 'there', 'and', 'all', 'that', 'happen', 'be', 'it', '’', 's', 'get', 'much', 'much', 'bad']",21,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,34,34,34,I suppose it’s difficult for savers to take the high moral ground,because they are lenders,it’s difficult for savers to take the high moral ground,they are lenders,RA,nodeset6135,27073,27076,113570,False,Michael,Michael,Michael,"because they are lenders,I suppose it’s difficult for savers to take the high moral ground",True,False,"['because', 'they', 'be', 'lender', 'I', 'suppose', 'it', '’', 'difficult', 'for', 'saver', 'to', 'take', 'the', 'high', 'moral', 'ground']",17,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,35,35,35,"And if they're lenders, that implies there are borrowers","I mean there should be both savers and borrowers, naturally","if they're lenders, that implies there are borrowers","there should be both savers and borrowers, naturally",MA,nodeset6135,27081,27085,113581,False,Michael,Simon,Simon,"I mean there should be both savers and borrowers, naturally,And if they're lenders, that implies there are borrowers",False,True,"['I', 'mean', 'there', 'should', 'be', 'both', 'saver', 'and', 'borrower', 'naturally', 'and', 'if', 'they', 're', 'lender', 'that', 'imply', 'there', 'be', 'borrower']",20,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
